Date,Open,High,Low,Close,Volume,Turnover
2015-01-01,6767.6,6794.25,6755.0,6786.1,440905954,71331200000.0
2015-01-02,6792.4,6883.05,6792.4,6866.45,617743719,121633100000.0
2015-01-05,6877.35,6913.25,6848.25,6857.45,614330577,123165000000.0
2015-01-06,6817.65,6817.65,6646.4,6656.8,716905569,156395600000.0
2015-01-07,6653.65,6680.5,6605.4,6644.95,723294637,150776300000.0
2015-01-08,6715.35,6758.25,6708.0,6755.45,654891539,157799400000.0
2015-01-09,6798.45,6811.3,6727.35,6783.0,656149896,173262100000.0
2015-01-12,6790.6,6819.1,6763.2,6815.05,565061352,124217300000.0
2015-01-13,6835.25,6846.7,6777.7,6801.4,633102324,151317800000.0
2015-01-14,6810.2,6828.9,6759.55,6787.15,617337112,147640300000.0
2015-01-15,6897.15,6962.15,6870.95,6937.5,908184374,198120200000.0
2015-01-16,6945.1,6970.95,6913.35,6961.45,793395731,172337700000.0
2015-01-19,6988.3,7013.3,6984.45,6992.15,753124977,137199000000.0
2015-01-20,7013.15,7088.55,7013.15,7080.65,715528499,159851800000.0
2015-01-21,7100.5,7117.0,7071.9,7099.6,740149235,185440500000.0
2015-01-22,7111.65,7136.1,7092.95,7121.85,828372340,171422400000.00003
2015-01-23,7176.0,7191.9,7137.45,7170.25,853708400,195194700000.0
2015-01-27,7197.75,7236.8,7169.8,7229.05,753389390,195690800000.00003
2015-01-28,7224.75,7290.45,7210.65,7241.55,836268363,206848900000.0
2015-01-29,7234.4,7264.55,7203.25,7257.25,968369702,235223600000.0
2015-01-30,7293.25,7293.25,7140.15,7166.7,1151032544,229079800000.0
2015-02-02,7164.6,7196.6,7142.0,7172.9,860671249,194025800000.00003
2015-02-03,7196.75,7203.75,7124.2,7137.45,870521232,197218400000.0
2015-02-04,7164.8,7164.8,7095.3,7108.75,921727881,183417700000.0
2015-02-05,7116.8,7176.7,7056.4,7076.65,797466152,179483700000.0
2015-02-06,7070.05,7087.2,7019.7,7029.45,787820408,157852800000.0
2015-02-09,6973.35,6978.65,6915.45,6922.35,707969352,140453200000.0
2015-02-10,6889.25,7022.95,6888.05,6959.9,833633496,185004400000.0
2015-02-11,6990.45,7040.45,6990.35,7031.8,741572390,155086300000.0
2015-02-12,7071.15,7117.2,7032.2,7108.2,881187542,180855300000.0
2015-02-13,7134.1,7186.3,7129.8,7176.2,853451640,195335800000.00003
2015-02-16,7200.6,7227.05,7162.0,7175.0,926158576,155758800000.0
2015-02-18,7182.2,7242.45,7182.2,7228.55,1065299979,198674199999.99997
2015-02-19,7245.55,7258.95,7168.0,7242.85,917135398,185329700000.0
2015-02-20,7250.75,7250.75,7194.9,7209.4,873700553,160094200000.0
2015-02-23,7233.35,7237.15,7134.5,7147.55,707217272,148926700000.0
2015-02-24,7162.55,7171.45,7123.2,7146.6,741277539,157175800000.0
2015-02-25,7177.45,7204.75,7134.25,7144.2,670750425,146738900000.0
2015-02-26,7154.75,7154.75,7066.05,7077.5,838034434,209077100000.0
2015-02-27,7111.1,7217.05,7111.1,7210.3,1114198291,238442800000.0
2015-02-28,7262.7,7273.1,7131.4,7239.45,1136488436,192475200000.0
2015-03-02,7281.85,7308.0,7234.95,7299.65,955723876,218288200000.0
2015-03-03,7309.5,7352.6,7288.05,7345.55,849662756,191635900000.0
2015-03-04,7426.8,7428.1,7260.6,7279.8,1094409207,238598100000.0
2015-03-05,7287.8,7314.8,7238.5,7303.35,803172306,176313900000.0
2015-03-09,7267.15,7267.15,7162.3,7171.5,748536444,163853800000.0
2015-03-10,7184.4,7199.0,7116.75,7141.7,677089532,170509199999.99997
2015-03-11,7156.15,7166.2,7115.8,7126.6,747101793,167488500000.0
2015-03-12,7158.85,7209.8,7158.85,7202.6,803300219,167511000000.0
2015-03-13,7253.75,7253.75,7089.2,7099.9,801685829,181826200000.0
2015-03-16,7111.05,7111.3,7064.55,7078.95,620221902,150777300000.0
2015-03-17,7122.1,7166.4,7087.25,7154.05,687747826,168777000000.0
2015-03-18,7172.65,7175.1,7120.65,7137.05,756935127,161046500000.0
2015-03-19,7189.55,7217.7,7086.25,7096.75,713921214,168003500000.0
2015-03-20,7096.2,7096.2,7016.05,7028.2,844259401,186826200000.0
2015-03-23,7045.8,7053.1,6990.15,6997.6,615398522,123061400000.0
2015-03-24,6991.7,7040.15,6980.3,6984.75,596568493,143435200000.0
